common_name,scientific_name,recordist_name,recording_length,Date,TYPE,xc_id,Time,Country,Download_link
Common Ostrich,Struthio camelus australis,Frank Lambert,0:53,2019-10-30,call,XC516153,08:05,South Africa,https://xeno-canto.org/516153/download
Common Ostrich,Struthio camelus,Jeremy Hegge,0:26,2014-11-20,call,XC208209,04:00,South Africa,https://xeno-canto.org/208209/download
Common Ostrich,Struthio camelus,Jeremy Hegge,0:04,2014-11-21,call,XC208128,06:00,South Africa,https://xeno-canto.org/208128/download
Common Ostrich,Struthio camelus,Derek Solomon,0:11,2010-02-09,call,XC46725,07:00,South Africa,https://xeno-canto.org/46725/download
Common Ostrich,Struthio camelus,Morioka Zoological Park ZOOMO,1:47,2021-09-06,"voice during egg laying, zoo collection",XC675445,17:00,Japan,https://xeno-canto.org/675445/download
Common Ostrich,Struthio camelus,Tony Archer,0:11,2021-09-11,call,XC673753,06:00,South Africa,https://xeno-canto.org/673753/download
Common Ostrich,Struthio camelus,Lynette Rudman,0:09,2015-06-03,begging call,XC563003,10:00,South Africa,https://xeno-canto.org/563003/download
Somali Ostrich,Struthio molybdophanes,Andrew Spencer,0:11,2015-11-09,song,XC292043,09:30,Ethiopia,https://xeno-canto.org/292043/download
Greater Rhea,Rhea americana,Alvaro Riccetto,0:28,2014-11-04,alarm call,XC201498,11:30,Uruguay,https://xeno-canto.org/201498/download
Greater Rhea,Rhea americana,Richard Hoyer,1:26,2014-08-16,song,XC191451,06:18,Brazil,https://xeno-canto.org/191451/download
Greater Rhea,Rhea americana,Bernabe Lopez-Lanus,0:04,2004-08-18,song,XC51833,?:?,Uruguay,https://xeno-canto.org/51833/download
Greater Rhea,Rhea americana araneipes,Rosendo Fraga,0:41,2002-11-29,call,XC49632,08:00,Argentina,https://xeno-canto.org/49632/download
Greater Rhea,Rhea americana albescens,Bernabe Lopez-Lanus,0:35,2008-10-17,booming,XC45555,am,Argentina,https://xeno-canto.org/45555/download
Greater Rhea,Rhea americana,Peter Boesman,0:07,2005-07-20,call,XC229054,06:15,Brazil,https://xeno-canto.org/229054/download
Greater Rhea,Rhea americana,Richard Hoyer,0:06,2014-08-16,song,XC191450,06:10,Brazil,https://xeno-canto.org/191450/download
Greater Rhea,Rhea americana,Lars Lachmann,0:03,2013-02-16,call,XC127145,14:29,Germany,https://xeno-canto.org/127145/download
